State/UT,District,Grade,District Score 2018-19 - Overall,District Score 2018-19 - Category - 1.Outcome (290),District Score 2018-19 - Category - 2. ECT (90),District Score 2018-19 - Category - 3. IF&SE (51),District Score 2018-19 - Category - 4.SS&CP (35),District Score 2018-19 - Category - 5. DL (50),District Score 2018-19 - Category - 6. GP (84)
Andaman and Nicobar,Andamans,Uttam,376,150,82,38,31,16,60
Andaman and Nicobar,Middle and North Andamans,Uttam,375,155,80,37,32,9,62
Andaman and Nicobar,Nicobars,Prachesta-1,353,137,80,37,35,8,57
Andhra Pradesh,Srikakulam,Uttam,394,195,69,37,24,4,64
Andhra Pradesh,East Godavari,Uttam,393,216,71,31,9,6,60
Andhra Pradesh,Guntur,Uttam,376,187,75,26,23,6,60
Andhra Pradesh,Krishna,Uttam,374,192,71,28,16,6,61
Andhra Pradesh,Prakasam,Uttam,373,197,69,23,18,5,62
Andhra Pradesh,Nellore,Uttam,367,159,76,36,26,5,66
Andhra Pradesh,Kurnool,Uttam,363,170,73,24,27,5,65
Andhra Pradesh,Anantapur,Uttam,361,183,71,27,20,4,57
Andhra Pradesh,Chittoor,Prachesta-1,354,162,76,31,18,5,62
Andhra Pradesh,Kadapa,Prachesta-1,351,170,73,23,17,4,63
Andhra Pradesh,West Godavari,Prachesta-1,349,161,66,28,29,7,58
Andhra Pradesh,Visakhapatnam,Prachesta-1,347,159,71,35,20,6,57
Andhra Pradesh,Vizianagaram,Prachesta-1,334,152,75,27,13,4,62
Arunachal Pradesh,Tirap,Prachesta-1,314,128,61,40,28,2,56
Arunachal Pradesh,Kamle,Prachesta-1,301,113,69,31,32,2,53
Arunachal Pradesh,Anjaw,Prachesta-2,295,126,62,38,17,2,49
Arunachal Pradesh,Lower Dibang Valley,Prachesta-2,291,92,73,40,25,8,54
Arunachal Pradesh,Tawang,Prachesta-2,264,112,52,41,16,1,42
Arunachal Pradesh,East Siang,Prachesta-2,257,84,55,40,23,3,51
Arunachal Pradesh,Capital Complex Itanagar,Prachesta-2,255,110,56,28,5,5,51
Arunachal Pradesh,West Kameng,Prachesta-2,255,98,60,31,19,9,39
Arunachal Pradesh,Lower Subansiri,Prachesta-2,251,103,67,34,5,4,38
Arunachal Pradesh,Changlang,Prachesta-2,249,89,52,39,29,4,36
Arunachal Pradesh,West Siang,Prachesta-2,249,96,69,33,5,1,44
Arunachal Pradesh,Upper Siang,Prachesta-2,243,95,65,32,7,2,43
Arunachal Pradesh,Kra Dadi,Prachesta-3,235,94,58,36,11,0,35
Arunachal Pradesh,Lohit,Prachesta-3,233,135,32,33,2,0,30
Arunachal Pradesh,Kurung Kumey,Prachesta-3,228,101,34,33,9,1,50
